payee_first_name,payee_last_name,payee_payment_status,payee_added_date_utc,payee_due_date,payee_address_line_1,payee_address_line_2,payee_city,payee_country,payee_province_or_state,payee_postal_code,payee_phone_number,payee_email,currency,discount_percent,tax_percent,due_amount,total_due
Andrea,Mendoza,overdue,2023-03-21,2024-11-27,9515 Harris Junctions,Apt. 998,East Jacqueline,CA,South Carolina,19147,12462387787,bjackson@singh.com,USD,15.49,7.25,129.07,116.71
Nicholas,Palmer,overdue,2024-04-20,2024-11-29,719 Kristy Dale Apt. 463,Suite 870,East William,DJ,Texas,81291,17377353620,roybennett@hotmail.com,USD,22.79,7.25,1425.62,1177.77
Kevin,Hall,pending,2023-05-25,2024-12-25,66752 Alvarez Haven,Apt. 714,West Donnastad,BT,South Carolina,1514,13226599501,pamela11@yahoo.com,USD,8.63,7.25,4850.47,4742.11
Donald,Miller,overdue,2023-03-28,2024-11-08,689 Victor Estates Suite 682,Suite 704,North Jose,BJ,Arkansas,68960,18365793490,carlos23@palmer-ross.com,USD,16.04,7.25,791.01,710.62
Douglas,Zimmerman,pending,2023-03-25,2024-12-11,089 Nash Spurs,Apt. 509,East Kathryn,BI,Rhode Island,66764,14427328264,brian22@gmail.com,USD,21.6,7.25,2330.71,1955.19
Brandy,Riley,pending,2024-10-04,2024-12-27,694 Daugherty Plains,Apt. 159,Harriston,PS,Georgia,25694,12311318904,nandersen@yahoo.com,USD,27.9,7.25,4662.86,3597.26
James,Branch,overdue,2024-05-28,2024-11-16,918 Jennifer Shore Apt. 200,Apt. 137,Brettberg,FI,North Dakota,20155,17573011716,asnow@hotmail.com,USD,29.38,7.25,3626.18,2740.06
Alexandria,Evans,pending,2023-08-07,2024-12-07,04855 Smith View,Apt. 453,Loganberg,VE,Wyoming,13984,13423507941,rebecca81@yahoo.com,USD,22.04,7.25,1637.86,1366.26
Peter,Brooks,pending,2023-12-10,2024-12-20,6491 Gregory Alley,Suite 086,Cruzberg,TD,Alaska,53644,19611535745,vmiller@white-nelson.com,USD,5.73,7.25,4527.52,4566.86
Eugene,Cruz,overdue,2023-06-15,2024-11-08,10164 Cobb Parkway Suite 283,Apt. 213,Sandraview,TD,Maine,73220,17291910546,iwright@gmail.com,USD,19.97,7.25,2689.93,2303.44
Jeffrey,Rios,overdue,2023-07-25,2024-11-13,72143 Adrian Manor,Apt. 865,Lisaburgh,AL,Arizona,86520,12202617244,larsonrichard@jones.info,USD,20.5,7.25,886.05,753.72
Arthur,Beck,overdue,2024-08-18,2024-11-19,7986 Jones Drive,Suite 529,New Michaelstad,AR,New Hampshire,63713,15275934242,bgreer@gmail.com,USD,23.13,7.25,1446.17,1189.49
Deborah,Johnson,overdue,2024-10-25,2024-11-18,23486 Parker Bypass Suite 161,Apt. 121,Sierrabury,NZ,Kentucky,30756,14535929974,daniel54@gmail.com,USD,29.49,7.25,2426.65,1830.80
Charles,Francis,overdue,2023-06-30,2024-11-16,1474 Ryan Skyway,Apt. 127,Lake Caitlyn,FR,Maine,92207,13562959599,turnerallen@yahoo.com,USD,15.55,7.25,3189.47,2882.05
Stephanie,Welch,overdue,2023-05-29,2024-11-03,6884 Taylor Falls,Suite 427,New Brandon,GT,Minnesota,70795,18057116391,erik79@james-banks.com,USD,19.64,7.25,2843.09,2444.64
Vincent,Greene,overdue,2023-01-30,2024-11-25,60549 Meadows Shoal,Apt. 709,Heidifurt,FI,Iowa,29245,15781543710,delgadoann@hotmail.com,USD,6.23,7.25,3198.55,3209.23
Kathleen,Hurley,pending,2023-06-27,2024-12-10,1084 Timothy Heights,Suite 998,New Jason,BI,Hawaii,83947,17702657809,bennettwalter@gmail.com,USD,19.41,7.25,1587.79,1369.17
Lisa,Harris,overdue,2024-08-29,2024-11-18,586 Bond Locks Suite 645,Suite 173,Lake Laurenview,ZM,New Jersey,3909,17822212472,shortchristina@gardner-lewis.biz,USD,21.11,7.25,873.83,737.62
Brad,Thomas,pending,2023-04-14,2024-12-15,81377 Sabrina Rapids Apt. 364,Apt. 879,Feliciaborough,BR,New York,53313,16529286726,barnesjacob@hickman-romero.net,USD,21.72,7.25,1817.84,1522.62
Charlene,Rhodes,pending,2023-09-04,2024-12-06,259 Erica Squares Apt. 141,Apt. 222,New Michaelfort,PA,Kentucky,94693,11622038713,ricky66@lewis.net,USD,24.08,7.25,349.55,283.95
Michael,Guerrero,overdue,2023-04-18,2024-11-09,061 Adkins Tunnel Suite 926,Suite 770,Nathanmouth,ZW,New York,85151,16667886951,barnesbrenda@hotmail.com,USD,13.09,7.25,1387.63,1290.41
Dawn,Warren,pending,2024-07-21,2024-12-16,412 Moore Stream Suite 460,Suite 316,East Johnberg,ZA,New York,64000,15323951965,maria71@curtis.com,USD,22.26,7.25,4371.46,3636.26
Kirsten,Conner,overdue,2024-11-19,2024-11-06,70738 Dixon Hill,Suite 196,Johnview,KM,Maine,63035,14405476951,nathaniel99@bennett-jefferson.com,USD,23.07,7.25,2350.09,1934.48
Jessica,Rivera,overdue,2023-08-27,2024-11-15,80932 Gross Loop Suite 704,Suite 078,Lake Robertton,IE,North Carolina,45291,18473203632,qsavage@yahoo.com,USD,9.9,7.25,2957.6,2851.33
Heather,Williams,overdue,2023-09-20,2024-11-10,1390 Marcus Expressway,Apt. 777,North Carolynshire,EG,Maryland,90110,17948380536,jmiller@yahoo.com,USD,20.01,7.25,4973.2,4256.53
Ashley,Simon,overdue,2024-10-21,2024-11-30,347 William Greens,Apt. 465,Port Julie,NR,Idaho,83040,18755192958,npatterson@gmail.com,USD,15.28,7.25,2867.94,2599.80
Connie,Howard,pending,2023-10-12,2024-12-15,441 Tammy Village,Apt. 666,New Christinaside,BF,Washington,42862,11509449711,felicia75@yahoo.com,USD,7.03,7.25,1328.83,1321.89
Brittany,Powers,pending,2024-03-05,2024-12-08,52680 Wise Valleys,Apt. 779,Barreratown,LY,Louisiana,19702,11338808751,staceyandrews@hotmail.com,USD,5.1,7.25,4746.1,4819.33
Gabrielle,Lee,pending,2023-12-12,2024-12-05,51693 Richard Terrace Suite 750,Apt. 460,Hallchester,GA,Alaska,51489,16755963169,rgomez@mccormick.info,USD,26.02,7.25,2132.06,1687.71
Brian,Williams,pending,2023-03-07,2024-12-08,184 Baker Crest Suite 654,Apt. 024,Angelatown,SM,Pennsylvania,16521,12250134805,jonesbrandon@yahoo.com,USD,11.96,7.25,550.78,518.85
Joseph,Dudley,pending,2023-01-30,2024-12-22,87606 Bennett Lakes,Suite 223,Mccormickburgh,ZA,Maine,76288,11997907790,smithsteven@robinson.com,USD,18.67,7.25,224.82,195.65
David,Myers,pending,2024-11-28,2024-12-30,4132 Martin Villages Suite 996,Suite 296,Andersonport,IR,South Carolina,38710,16642414202,fatkins@rodriguez-miller.com,USD,6.27,7.25,561.09,562.72
Karen,Johnson,pending,2023-09-18,2024-12-18,19889 Brown Land Apt. 296,Suite 434,South Kristen,TO,New York,12892,17269068458,david65@gmail.com,USD,26.23,7.25,2513.72,1984.18
Samuel,Baker,overdue,2023-11-25,2024-12-02,797 Carter Parks Suite 082,Suite 882,Ortizland,NR,Alaska,46090,19884000845,lcurtis@yahoo.com,USD,28.93,7.25,1508.46,1147.11
Scott,Gallagher,overdue,2023-08-17,2024-11-02,14949 Thomas Shore Apt. 862,Suite 831,Rhondabury,LT,Wisconsin,12224,14447039222,osharp@gmail.com,USD,21.76,7.25,2415.13,2021.87
Denise,Stewart,pending,2023-03-24,2024-12-25,11042 Palmer Villages,Suite 351,Pamelaborough,AG,Virginia,6373,15135500153,hcook@gmail.com,USD,18.51,7.25,3800.49,3313.81
Angela,Bishop,pending,2024-05-17,2024-12-08,574 Jamie Plaza,Apt. 696,Katherineberg,SO,West Virginia,23306,18387924179,mbaker@hotmail.com,USD,6.76,7.25,3918.88,3909.74
